ticker,date,current_price,data_points,ema_10,ema_10_slope,sma_20,sma_20_slope,sma_50,sma_50_slope,macd,macd_signal,macd_histogram,rsi_14,price_position_52w,atr,atr_pct,atr_percentile_100,atrext_dollar,atrext_percent,weekly_stage_code,weekly_stage_color_code,weekly_stage_name,weekly_momentum_20,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_pct_change,weekly_abs_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_atr_ratio,timeframe
IWO,2025-08-18,295.62,86,289.01,1.64,275.99,1.89,281.63,0.46,5.93,3.19,2.75,62.64,0.78,12.46,4.21,,1.12,1.18,2A,green_light,Bullish Trend,16.73,Mixed,2.29,7.11,4.97,-1.25,1.25,0.55,7.18,3.91,weekly
IWN,2025-08-18,166.34,86,161.56,0.79,154.81,0.72,159.98,0.07,2.41,0.80,1.61,62.66,0.72,6.74,4.05,,0.94,0.98,2A,green_light,Bullish Trend,13.96,Mixed,2.96,7.45,3.98,-0.16,0.16,0.43,9.08,3.91,weekly
SPLV,2025-08-18,74.31,86,73.05,0.15,72.44,0.07,71.59,0.10,0.64,0.55,0.09,55.35,1.00,1.62,2.18,,1.68,1.74,2A,green_light,Bullish Trend,2.49,Bullish,1.73,2.58,3.80,1.28,1.28,1.13,3.93,1.89,weekly
SPHB,2025-08-18,101.91,86,99.41,0.95,92.02,1.20,89.73,0.38,4.70,3.56,1.14,70.38,0.95,4.66,4.57,,2.62,2.97,2B,lime,Breakout Confirmation,31.29,Bullish,2.52,10.74,13.58,-1.14,1.14,-1.73,10.26,4.50,weekly
FDN,2025-08-18,268.50,86,265.44,1.47,253.54,2.33,242.91,1.44,9.34,8.31,1.03,60.31,0.96,10.53,3.92,,2.43,2.69,2A,green_light,Bullish Trend,19.06,Bullish,1.15,5.90,10.54,-1.34,1.34,-1.44,5.86,3.49,weekly
IYT,2025-08-18,70.54,86,68.92,0.21,66.35,0.30,67.76,0.09,1.03,0.54,0.49,54.86,0.80,3.23,4.58,,0.86,0.90,??,gray,Undefined,14.10,Mixed,2.36,6.32,4.11,0.03,0.03,-0.98,8.69,4.36,weekly
ROBO,2025-08-18,62.35,86,61.15,0.58,57.32,0.50,56.76,0.19,2.15,1.47,0.68,67.95,0.93,2.44,3.92,,2.29,2.52,2A,green_light,Bullish Trend,24.89,Bullish,1.96,8.77,9.85,-1.89,1.89,-1.72,10.82,3.79,weekly
SMH,2025-08-18,288.96,86,281.38,3.13,256.56,3.80,247.55,1.11,15.92,12.04,3.88,74.56,0.95,15.83,5.48,,2.62,3.05,2B,lime,Breakout Confirmation,38.29,Bullish,2.69,12.63,16.73,-2.26,2.26,0.51,11.02,5.53,weekly
VEGI,2025-08-18,40.26,86,40.04,0.03,39.40,0.19,37.63,0.10,0.86,0.94,-0.08,51.37,0.87,1.09,2.70,,2.42,2.59,2A,green_light,Bullish Trend,8.38,Bullish,0.55,2.19,6.99,0.85,0.85,-1.78,0.18,2.32,weekly
GDX,2025-08-18,58.32,86,54.67,0.73,52.05,0.64,44.32,0.38,3.71,3.36,0.35,73.03,1.00,3.25,5.58,,4.30,5.66,2C,green_dark,Bullish Extended,13.85,Bullish,6.67,12.04,31.59,0.07,0.07,8.08,11.53,7.08,weekly
