Date,Internet software/Services,Packaged software,Semiconductors
2025-03-06 00:00:00-05:00,339.9587,362.8868,152.6326
2025-03-07 00:00:00-05:00,339.3397,360.5661,158.3218
2025-03-10 00:00:00-04:00,325.3530,347.1346,149.7385
2025-03-11 00:00:00-04:00,328.0745,348.2679,152.4086
2025-03-12 00:00:00-04:00,335.3734,351.7780,158.7476
2025-03-13 00:00:00-04:00,323.0425,347.4725,157.5071
2025-03-14 00:00:00-04:00,331.3394,357.3761,163.6059
2025-03-17 00:00:00-04:00,332.1373,358.1161,162.8534
2025-03-18 00:00:00-04:00,322.4588,352.2496,158.7976
2025-03-19 00:00:00-04:00,327.2624,356.8722,162.0037
2025-03-20 00:00:00-04:00,326.3680,356.4938,161.7321
2025-03-21 00:00:00-04:00,330.4457,360.9374,160.5574
2025-03-24 00:00:00-04:00,339.5045,363.9962,163.8807
2025-03-25 00:00:00-04:00,345.1114,366.0316,162.7510
2025-03-26 00:00:00-04:00,335.5828,360.4356,154.9918
2025-03-27 00:00:00-04:00,331.8871,358.3223,151.0401
2025-03-28 00:00:00-04:00,316.9330,348.0693,148.2494
2025-03-31 00:00:00-04:00,316.9056,344.6912,146.4904
2025-04-01 00:00:00-04:00,320.7818,351.3040,148.1135
2025-04-02 00:00:00-04:00,320.7383,351.7937,149.1638
2025-04-03 00:00:00-04:00,301.8944,342.5207,136.7031
2025-04-04 00:00:00-04:00,287.3850,328.5104,128.5781
2025-04-07 00:00:00-04:00,292.0504,327.6037,132.9251
2025-04-08 00:00:00-04:00,289.1658,324.7936,131.1562
2025-04-09 00:00:00-04:00,323.2089,358.9080,154.8695
2025-04-10 00:00:00-04:00,307.5500,350.2197,145.3206
2025-04-11 00:00:00-04:00,309.4708,355.8909,150.8162
2025-04-14 00:00:00-04:00,308.6516,355.1807,150.1307
2025-04-15 00:00:00-04:00,307.3982,354.2328,151.7372
2025-04-16 00:00:00-04:00,299.4037,340.8312,143.1004
2025-04-17 00:00:00-04:00,298.5382,337.8999,140.5304
2025-04-21 00:00:00-04:00,292.9418,329.7080,135.6406
2025-04-22 00:00:00-04:00,303.2363,337.0627,138.4136
2025-04-23 00:00:00-04:00,311.5701,344.8172,143.6247
2025-04-24 00:00:00-04:00,320.7521,357.2723,149.6276
2025-04-25 00:00:00-04:00,326.3797,362.0188,153.8289
2025-04-28 00:00:00-04:00,326.6915,361.8870,152.1737
2025-04-29 00:00:00-04:00,328.6844,364.6708,151.7628
2025-04-30 00:00:00-04:00,326.8725,365.2182,152.1541
2025-05-01 00:00:00-04:00,334.3879,391.6756,154.5694
2025-05-02 00:00:00-04:00,344.2565,402.0557,159.1248
2025-05-05 00:00:00-04:00,343.3991,402.5728,157.7973
2025-05-06 00:00:00-04:00,339.9914,398.8505,157.2547
2025-05-07 00:00:00-04:00,335.4760,398.9870,161.7313
2025-05-08 00:00:00-04:00,336.9844,405.3037,162.9875
2025-05-09 00:00:00-04:00,334.3062,405.2191,162.5609
2025-05-12 00:00:00-04:00,347.8178,415.2233,172.0552
2025-05-13 00:00:00-04:00,354.8397,416.8048,179.8079
2025-05-14 00:00:00-04:00,360.5320,420.5431,183.8772
2025-05-15 00:00:00-04:00,357.5314,420.8811,183.0505
2025-05-16 00:00:00-04:00,359.0160,421.8433,182.2060
2025-05-19 00:00:00-04:00,359.3129,425.8845,182.7278
2025-05-20 00:00:00-04:00,356.7689,424.9255,182.0842
2025-05-21 00:00:00-04:00,359.6867,419.4115,179.2858
2025-05-22 00:00:00-04:00,360.9185,421.3089,180.1508
2025-05-23 00:00:00-04:00,356.7015,417.4168,178.2916
2025-05-27 00:00:00-04:00,365.3951,427.5937,183.9517
2025-05-28 00:00:00-04:00,365.1199,425.0654,183.7344
2025-05-29 00:00:00-04:00,363.5238,425.8657,187.2814
2025-05-30 00:00:00-04:00,365.6352,428.5042,183.9268
2025-06-02 00:00:00-04:00,370.6691,430.2648,187.4914
2025-06-03 00:00:00-04:00,367.7073,431.1130,192.0167
2025-06-04 00:00:00-04:00,375.7985,432.2861,193.2443
2025-06-05 00:00:00-04:00,375.9073,434.6234,191.7853
2025-06-06 00:00:00-04:00,382.1729,437.8190,190.4863
2025-06-09 00:00:00-04:00,381.9216,439.0027,191.6932
2025-06-10 00:00:00-04:00,384.2352,437.4715,193.4844
2025-06-11 00:00:00-04:00,382.4379,439.2696,194.3737
2025-06-12 00:00:00-04:00,380.7281,444.5159,196.4760
2025-06-13 00:00:00-04:00,377.1399,440.7000,191.5367
2025-06-16 00:00:00-04:00,384.5078,444.9395,195.2084
2025-06-17 00:00:00-04:00,382.4174,443.3118,193.5224
2025-06-18 00:00:00-04:00,380.1741,444.7932,194.8873
2025-06-20 00:00:00-04:00,373.0291,441.3439,193.4134
2025-06-23 00:00:00-04:00,377.6326,449.4877,195.5742
2025-06-24 00:00:00-04:00,384.0250,453.8967,202.1581
2025-06-25 00:00:00-04:00,385.4433,455.3571,206.9654
2025-06-26 00:00:00-04:00,394.0391,460.3240,207.9260
2025-06-27 00:00:00-04:00,400.0937,457.2901,209.5122
2025-06-30 00:00:00-04:00,401.2787,459.6783,211.2009
2025-07-01 00:00:00-04:00,392.9862,453.9949,204.9871
2025-07-02 00:00:00-04:00,392.8413,453.2594,209.3358
2025-07-03 00:00:00-04:00,395.6579,460.4387,211.6168
2025-07-07 00:00:00-04:00,393.0257,460.0105,210.0052
2025-07-08 00:00:00-04:00,390.9836,459.0930,211.2476
2025-07-09 00:00:00-04:00,396.5849,465.7139,214.7696
2025-07-10 00:00:00-04:00,393.2207,463.6459,215.3904
2025-07-11 00:00:00-04:00,392.1060,464.8005,215.7695
2025-07-14 00:00:00-04:00,395.1238,465.9411,215.5803
2025-07-15 00:00:00-04:00,392.5695,468.2268,222.3065
2025-07-16 00:00:00-04:00,390.5192,468.3546,219.8450
2025-07-17 00:00:00-04:00,392.3289,474.2484,221.6969
2025-07-18 00:00:00-04:00,389.4281,472.7903,220.0905
2025-07-21 00:00:00-04:00,396.7863,472.7081,219.8777
2025-07-22 00:00:00-04:00,392.4230,467.6801,214.1369
2025-07-23 00:00:00-04:00,393.1483,469.1513,218.4777
2025-07-24 00:00:00-04:00,394.9634,473.4671,222.0253
2025-07-25 00:00:00-04:00,395.0423,476.4472,221.7264
2025-07-28 00:00:00-04:00,395.4655,475.5615,226.0004
2025-07-29 00:00:00-04:00,392.6488,475.1294,225.4977
2025-07-30 00:00:00-04:00,393.1160,475.9888,229.2823
2025-07-31 00:00:00-04:00,408.2020,494.6807,224.7875
2025-08-01 00:00:00-04:00,400.2587,485.6855,220.5373
2025-08-04 00:00:00-04:00,411.7963,496.9165,227.3288
2025-08-05 00:00:00-04:00,406.6166,490.5163,224.5759
2025-08-06 00:00:00-04:00,411.9546,489.0916,226.7989
2025-08-07 00:00:00-04:00,409.7649,487.4858,229.5291
2025-08-08 00:00:00-04:00,417.1374,489.6518,231.5587
2025-08-11 00:00:00-04:00,416.4338,489.3904,230.8445
2025-08-12 00:00:00-04:00,424.7145,496.3515,234.6666
2025-08-13 00:00:00-04:00,419.8791,487.7892,233.8896
2025-08-14 00:00:00-04:00,422.8295,488.6642,234.5165
2025-08-15 00:00:00-04:00,424.8993,486.5009,231.6833
2025-08-18 00:00:00-04:00,420.4345,483.5336,232.8242
2025-08-19 00:00:00-04:00,412.9584,474.7125,225.5721
2025-08-20 00:00:00-04:00,410.4442,471.0112,224.7986
2025-08-21 00:00:00-04:00,408.0020,469.9707,223.4553
2025-08-22 00:00:00-04:00,416.0897,473.6628,227.5636
2025-08-25 00:00:00-04:00,418.2843,471.2627,228.5990
2025-08-26 00:00:00-04:00,418.1860,470.3471,231.3242
2025-08-27 00:00:00-04:00,416.4948,473.8444,232.0277
2025-08-28 00:00:00-04:00,420.8109,477.2759,232.6484
2025-08-29 00:00:00-04:00,416.8432,474.3814,225.0274
2025-09-02 00:00:00-04:00,415.2927,473.1606,222.0779
2025-09-03 00:00:00-04:00,429.6020,473.3747,223.2983
2025-09-04 00:00:00-04:00,435.8313,476.2430,225.6062
2025-09-05 00:00:00-04:00,437.6010,464.2814,229.4433
