ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
CDW,weekly,2025-08-04,Short,169.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,162.9200,4.1800,28,195.0553,178.9876,187.0215,False,4331200,25.0000,7.3100,-4.2942,4.1800
CEG,weekly,2025-05-12,Long,301.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,290.3727,3.8596,112,191.2757,240.8242,216.0500,True,8379700,28.8596,4.7478,1.6622,3.8596
CHTR,weekly,2025-07-21,Short,261.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,309.7500,-15.5771,42,434.4344,372.0922,403.2633,False,8901000,35.0000,76.3300,-19.7705,-15.5771
CMCSA,weekly,2024-12-16,Short,33.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,37.2195,-8.8919,259,44.7411,40.9803,42.8607,False,87259900,33.8919,0.8472,-2.2256,-8.8919
COST,weekly,2025-07-21,Short,963.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,934.1857,3.1358,42,1026.7911,980.4884,1003.6398,False,6863100,25.0000,16.0079,-1.6847,3.1358
CPRT,weekly,2025-05-19,Short,48.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,53.6700,-9.5025,105,68.0990,60.8845,64.4918,False,40962400,34.5025,9.7900,-15.4270,-9.5025
CRWD,weekly,2025-08-18,Short,417.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,420.5500,-0.6943,14,513.4853,467.0177,490.2515,False,11730700,25.6943,10.4500,-2.4246,-0.6943
CSCO,weekly,2025-05-26,Long,66.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,62.6632,6.7613,98,53.8659,58.8411,56.3535,True,68685600,31.7613,0.7157,-1.1292,6.7613
CSGP,weekly,2025-04-21,Long,89.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,82.8200,8.0174,133,65.2561,74.0381,69.6471,True,7466700,33.0174,4.2100,5.3556,8.0174
CSX,weekly,2025-06-02,Long,32.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,32.2300,0.9308,91,27.8247,30.0273,28.9260,True,50167400,25.9308,0.8500,2.7087,0.9308
CTAS,weekly,2025-09-01,Short,204.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,204.5000,0.0000,0,227.7908,216.1454,221.9681,False,7532900,40.0000,3.0400,-1.4648,0.0000
CTSH,weekly,2025-07-28,Short,71.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,70.2774,2.1950,35,83.2324,76.7549,79.9937,False,14012100,25.0000,6.0531,-7.9301,2.1950
DASH,weekly,2025-06-02,Long,246.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,218.4500,13.0007,91,169.7029,194.0765,181.8897,True,10927800,35.0000,9.2300,4.4116,13.0007
DDOG,weekly,2025-05-26,Long,136.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,117.8800,15.4394,98,93.8195,105.8497,99.8346,True,16372700,35.0000,1.4450,1.2410,15.4394
DXCM,weekly,2025-05-05,Long,80.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,84.6700,-4.9132,119,58.4733,71.5716,65.0224,True,18867700,25.0000,3.0200,3.6987,-4.9132
EA,weekly,2025-03-17,Long,168.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,144.1134,17.0051,168,119.8890,132.0012,125.9451,True,10728600,35.0000,5.3131,3.8279,17.0051
EXC,weekly,2024-07-29,Long,43.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,36.9814,17.4373,399,32.1041,34.5428,33.3234,True,22737500,35.0000,1.9268,5.4966,17.4373
FANG,weekly,2025-06-09,Long,138.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,153.8033,-9.8134,84,118.8943,136.3488,127.6215,True,7078200,20.0000,13.3936,9.5390,-9.8134
FAST,weekly,2025-03-03,Long,47.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,39.8020,20.5718,182,34.1707,36.9864,35.5786,True,23968300,35.0000,1.9707,5.2092,20.5718
FTNT,weekly,2025-08-04,Short,78.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,74.3900,5.9685,28,113.0950,93.7425,103.4187,False,28834200,20.0000,23.4300,-23.9522,5.9685
GEHC,weekly,2025-06-23,Long,75.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,74.3461,1.8615,70,60.9673,67.6567,64.3120,True,13155100,26.8615,3.0986,4.3490,1.8615
